CountryCode,Year,inflation_cpi_yoy,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,net_lending_gdp_lag1,broad_money_growth_lag2
AGO,2022,21.3552901320822,0.0,0.7269406392694063,0.4191780821917808,0.1465753424657534,0.0520547945205479,0.1844748858447488,0.4767123287671233,0.3602739726027397,1.33347600868841,24.3007654229535
AGO,2023,13.6441017767715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74000837806902,-9.32234729744459
AGO,2024,28.2404948915772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.46468549298752,-1.41316825286512
ARE,2022,5.29122604376849,0.2767123287671232,0.3716894977168949,0.5575342465753425,0.1787671232876712,0.1095890410958904,0.0,0.0794520547945205,0.2773972602739726,0.723420063993152,4.63080770411969
ARE,2023,1.62670837213248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0866519333868973,5.70929259769499
ARE,2024,1.66336510224894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746043999715016,8.99537755314214
ARG,2022,72.430757531824,0.0547945205479452,0.0,0.0,0.0,0.0068493150684931,0.0045662100456621,0.1095890410958904,0.1623287671232876,-4.37239542525685,66.3310972790224
ARG,2023,133.488935594175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4270873191738,51.2817217703227
ARG,2024,219.883929014578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.59487367608309,87.6857878752438
AZE,2022,13.8522590144267,0.6666666666666666,0.7251141552511414,1.0,0.4684931506849315,0.7506849315068493,0.0,0.7506849315068493,0.75,4.8140053131223,1.10683160695424
AZE,2023,8.78543049849081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9992276560822,18.7105801361921
AZE,2024,2.21217188919901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79513465618005,23.6048521799271
BFA,2022,14.2902354303358,0.0,0.0,0.0,0.0,0.0,0.0082191780821917,0.0,0.25,-7.56798249695863,17.8188029823361
BFA,2023,0.742910428668918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0424403025089,16.8623216574748
BFA,2024,4.19081721344523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.82039505428855,2.35938172904218
BGR,2022,15.3252589264366,0.0858447488584474,0.165296803652968,0.2054794520547945,0.1541095890410959,0.0,0.0,0.0,0.1246575342465753,-4.02052146509548,10.8841648659458
BGR,2023,9.44284140088564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.14711301963383,10.6987148417859
BGR,2024,2.44651943006079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8899793377729,13.195097164808
BRA,2022,9.28010608956873,0.1625570776255707,0.0949771689497716,0.1424657534246575,0.0554794520547945,0.0,0.0,1.0,0.2828767123287671,-4.53656203189497,17.0242715916522
BRA,2023,4.59356282283204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.46637752012501,12.2592082545636
BRA,2024,4.36746407652337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.86868984767067,12.749851574354
BWA,2022,11.665567478802,0.0410958904109589,0.0027397260273972,0.0,0.0,0.0,0.0,0.0,0.1636986301369863,-0.0911836669368312,5.89245991324916
BWA,2023,5.0676154934383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040986931231836,5.02038651534101
BWA,2024,2.81835131676251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0390341092345532,6.78583095846939
CHL,2022,11.643866711056,0.2493150684931507,0.2493150684931507,0.373972602739726,0.2575342465753424,0.0,0.0,0.0,0.25,-7.7231232384713,14.065633467554
CHL,2023,7.58168251407962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13200004000061,19.2852459032946
CHL,2024,4.29763891572524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.39074850018473,3.79180342377034
CIV,2022,5.23352856100843,0.0374429223744292,0.2073059360730593,0.0,0.0,0.0,0.0,0.0,0.234931506849315,-5.44868638404588,21.1007351049792
CIV,2023,4.36972254867474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.17873716059206,18.7449777034031
CIV,2024,3.45053028131019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.41192193440121,8.98298280676062
CRI,2022,8.27477490232654,0.0493150684931506,0.1643835616438356,0.1232876712328767,0.1232876712328767,0.0,0.0821917808219178,0.1191780821917808,0.0595890410958904,-2.77815643386778,17.7769648530842
CRI,2023,0.525193508693455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0522988947814059,8.76885327082765
CRI,2024,-0.412853001047069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439026284102866,-2.35512487440564
