Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Angola,AGO,22.271539247051,25.7542948841891,21.3552901320822,13.6441017767715,28.2404948915772
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Argentina,ARG,42.0150947376509,48.4093786255199,72.430757531824,133.488935594175,219.883929014578
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Azerbaijan,AZE,2.75980947008127,6.65029912708779,13.8522590144267,8.78543049849081,2.21217188919901
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Botswana,BWA,1.8903591682421,7.24097765588442,11.665567478802,5.0676154934383,2.81835131676251
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brazil,BRA,3.21176803803376,8.30165975585673,9.28010608956873,4.59356282283204,4.36746407652337
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bulgaria,BGR,1.67244096855756,3.29774435299515,15.3252589264366,9.44284140088564,2.44651943006079
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burkina Faso,BFA,1.88470066518847,3.65326761825509,14.2902354303358,0.742910428668918,4.19081721344523
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cambodia,KHM,2.9402951426397,2.92073477592949,5.34370264895437,2.12746796594194,0.808042016536654
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Chile,CHL,3.04549084804326,4.52456838259144,11.643866711056,7.58168251407962,4.29763891572524
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Costa Rica,CRI,0.724911478131376,1.72647755109241,8.27477490232654,0.525193508693455,-0.412853001047069
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cote d'Ivoire,CIV,2.41252617189053,4.15919657911798,5.23352856100843,4.36972254867474,3.45053028131019
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Denmark,DNK,0.420711974110115,1.8530454398968,7.6965669988926,3.30517811237606,1.37220049768918
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Dominican Republic,DOM,3.78103179915517,8.24300347981809,8.81109209279587,4.78561281021135,3.30223338951227
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,El Salvador,SLV,-0.371590212324095,3.46692585313082,7.19861615609867,4.04554694222477,0.853782292567288
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Georgia,GEO,5.2024648897534,9.56691433824769,11.8981654203198,2.48776056578715,1.10971758022096
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guatemala,GTM,3.21444062197345,4.26105127422813,6.88512823344287,6.20657592272126,2.86992752918294
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Iceland,ISL,2.84792401518665,4.44423970189739,8.3087551155892,8.73630299937298,5.85683849970066
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Jordan,JOR,0.333294350628378,1.34609377243118,4.22915568897117,2.08486986327134,1.55659611283953
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kazakhstan,KAZ,6.71815454861464,8.04147134028391,15.0278644440851,14.7249900200331,8.83943897452672
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Korea, Rep.",KOR,0.537288023411737,2.49833333333339,5.08951365062842,3.5974562502901,2.32174328643542
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Malaysia,MYS,-1.1387021539305,2.47710241465447,3.37869862549928,2.48886560125754,1.834100204499
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mauritius,MUS,2.5808007718283,4.02852888157376,10.7737512242899,7.05298238454736,3.6045220384796
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Mexico,MEX,3.39683415570006,5.68920847683753,7.8962761916855,5.52796087314389,4.72225588452932
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Moldova,MDA,3.76597122245351,5.10641129002841,28.7372976766235,13.4170104381299,4.67773516007052
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Morocco,MAR,0.705968661338261,1.40195883962006,6.65704202759067,6.09114152504141,0.985256592004507
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,New Zealand,NZL,1.71456170007245,3.94112060778728,7.17222476016441,5.73316283034957,2.92279782301957
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Norway,NOR,1.28658490708005,3.48388055266678,5.76412317852272,5.51784987104659,3.14530134431073
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Paraguay,PRY,1.76751592356698,4.787983101236,9.76556667164402,4.63202285403356,3.83540271728533
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Poland,POL,3.37446972618589,5.05502704719272,14.4294507575758,11.5289127961105,3.7842600751287
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Rwanda,RWA,9.85039902274207,-0.391346748300791,17.6892095588153,19.789546746467,1.77029240198635
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Senegal,SEN,2.54314685681662,2.18032278088147,9.69681899081073,5.93947798773215,0.804503298792438
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,South Africa,ZAF,3.23238831615113,4.61874544887136,7.03987272546482,6.0752438457966,4.36115246518962
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Sweden,SWE,0.497367318853572,2.16319736447153,8.36929098869189,8.54862489748902,2.83581658224034
