CountryCode,Year,inflation_cpi_yoy,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,net_lending_gdp_lag1,broad_money_growth_lag2,demand_restrictions,supply_restrictions,restriction_index,inflation_cpi_yoy_dm,demand_restrictions_dm,supply_restrictions_dm,net_lending_gdp_lag1_dm,broad_money_growth_lag2_dm,restriction_index_dm
AGO,2022,21.3552901320822,0.0,0.7269406392694063,0.4191780821917808,0.1465753424657534,0.0520547945205479,0.1844748858447488,0.4767123287671233,0.3602739726027397,1.33347600868841,24.3007654229535,0.30673515981735155,0.3797564687975647,0.3380300065231571,-1.145646128222749,0.10919221569906497,0.14072262085960724,1.860776602673452,16.76534800076614,0.12270524648215447
AGO,2023,13.6441017767715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74000837806902,-9.32234729744459,0.0,0.0,0.0,-7.073938570593551,-0.054596107849532505,-0.07036131042980358,0.9792474002300207,-13.0181907021292,-0.061352623241077237
AGO,2024,28.2404948915772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.46468549298752,-1.41316825286512,0.0,0.0,0.0,8.219584698816309,-0.054596107849532505,-0.07036131042980358,-2.8400240029034713,-3.747157298636939,-0.061352623241077237
ARE,2022,5.29122604376849,0.2767123287671232,0.3716894977168949,0.5575342465753425,0.1787671232876712,0.1095890410958904,0.0,0.0794520547945205,0.2773972602739726,0.723420063993152,4.63080770411969,0.20393835616438355,0.25289193302891927,0.22491846053489883,1.009818877557203,0.040661013263753,0.05614626368051022,0.9349482902031419,-4.8280190455053535,0.047297549156648966
ARE,2023,1.62670837213248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0866519333868973,5.70929259769499,0.0,0.0,0.0,-0.8718028811389065,-0.020330506631876494,-0.028073131840255117,-0.9898814122271542,0.0900398655727006,-0.02364877457832447
ARE,2024,1.66336510224894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746043999715016,8.99537755314214,0.0,0.0,0.0,-0.13801599641828943,-0.020330506631876494,-0.028073131840255117,0.05493312202401324,4.737979179932642,-0.02364877457832447
ARG,2022,72.430757531824,0.0547945205479452,0.0,0.0,0.0,0.0068493150684931,0.0045662100456621,0.1095890410958904,0.1623287671232876,-4.37239542525685,66.3310972790224,0.028538812785388126,0.05639269406392689,0.04047619047619046,-70.92475717519629,-0.0762720156555773,-0.074853228962818,0.489290273489408,-5.115439160480005,-0.0756639642158233
ARG,2023,133.488935594175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4270873191738,51.2817217703227,0.0,0.0,0.0,-8.083683199905412,0.03813600782778864,0.037426614481409014,-0.8534631922515827,-16.325240651676953,0.03783198210791165
ARG,2024,219.883929014578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.59487367608309,87.6857878752438,0.0,0.0,0.0,79.00844037510176,0.03813600782778864,0.037426614481409014,0.36417291876217517,21.440679812156944,0.03783198210791165
AZE,2022,13.8522590144267,0.6666666666666666,0.7251141552511414,1.0,0.4684931506849315,0.7506849315068493,0.0,0.7506849315068493,0.75,4.8140053131223,1.10683160695424,0.5547945205479452,0.7419330289193303,0.6349967384213959,4.14799788689321,0.2745651228527941,0.38217366094078425,-1.6585503367642054,-16.38092383204301,0.3206830677476471
AZE,2023,8.78543049849081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9992276560822,18.7105801361921,0.0,0.0,0.0,0.8640652838972187,-0.13728256142639705,-0.19108683047039215,3.238610434371652,5.062398714697602,-0.1603415338738235
AZE,2024,2.21217188919901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79513465618005,23.6048521799271,0.0,0.0,0.0,-5.012063170790423,-0.13728256142639705,-0.19108683047039215,-1.5800600976074488,11.318525117345395,-0.1603415338738235
BFA,2022,14.2902354303358,0.0,0.0,0.0,0.0,0.0,0.0082191780821917,0.0,0.25,-7.56798249695863,17.8188029823361,0.002054794520547925,0.08333333333333333,0.03688845401174167,6.4612737460245,-0.09392802783213743,-0.05689280278321372,1.639190346201743,2.458300061412304,-0.07805578852545583
BFA,2023,0.742910428668918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0424403025089,16.8623216574748,0.0,0.0,0.0,-5.303155342702482,0.04696401391606871,0.028446401391606868,-3.123329031172569,5.341392754053759,0.039027894262727916
BFA,2024,4.19081721344523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.82039505428855,2.35938172904218,0.0,0.0,0.0,-1.1581184033220104,0.04696401391606871,0.028446401391606868,1.48413868497083,-7.79969281546607,0.039027894262727916
BGR,2022,15.3252589264366,0.0858447488584474,0.165296803652968,0.2054794520547945,0.1541095890410959,0.0,0.0,0.0,0.1246575342465753,-4.02052146509548,10.8841648659458,0.0898972602739726,0.09665144596651443,0.09279191128506196,4.832745013814273,-0.03536638399652098,-0.048014061027759666,-0.2710832990197316,-3.722161556206867,-0.040786817009908966
BGR,2023,9.44284140088564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.14711301963383,10.6987148417859,0.0,0.0,0.0,0.7332234012032135,0.017683191998260486,0.024007030513879833,-0.6857364253821232,-0.06803756286401708,0.020393408504954483
